day	posts	likes	reactions	comments	shares
2018-08-25	0	0	0	0	0
2018-08-26	0	0	0	0	0
2018-08-27	1	58	64	17	4
2018-08-28	1	19	20	1	0
2018-08-29	1	30	30	1	0
2018-08-30	1	41	45	4	4
2018-08-31	1	24	25	2	5
2018-09-01	0	0	0	0	0
2018-09-02	0	0	0	0	0
2018-09-03	1	72	75	1	6
2018-09-04	0	0	0	0	0
2018-09-05	1	34	34	4	26
2018-09-06	1	20	21	1	2
2018-09-07	1	41	47	7	1
2018-09-08	0	0	0	0	0
2018-09-09	0	0	0	0	0
2018-09-10	0	0	0	0	0
2018-09-11	0	0	0	0	0
2018-09-12	1	19	19	2	0
2018-09-13	1	29	30	1	5
2018-09-14	1	51	52	3	4
2018-09-15	0	0	0	0	0
2018-09-16	0	0	0	0	0
2018-09-17	1	92	101	14	21
2018-09-18	1	57	64	6	2
2018-09-19	1	26	26	13	2
2018-09-20	0	0	0	0	0
2018-09-21	0	0	0	0	0
2018-09-22	0	0	0	0	0
2018-09-23	0	0	0	0	0
2018-09-24	1	45	45	4	7
2018-09-25	1	86	95	7	15
2018-09-26	0	0	0	0	0
2018-09-27	3	220	248	8	13
2018-09-28	0	0	0	0	0
2018-09-29	0	0	0	0	0
2018-09-30	0	0	0	0	0
2018-10-01	1	18	21	3	1
2018-10-02	1	19	20	0	2
2018-10-03	1	36	39	8	2
2018-10-04	1	129	133	130	3
2018-10-05	1	31	31	3	2
2018-10-06	0	0	0	0	0
2018-10-07	0	0	0	0	0
2018-10-08	1	72	82	2	4
2018-10-09	0	0	0	0	0
2018-10-10	0	0	0	0	0
2018-10-11	1	85	98	0	3
2018-10-12	1	45	45	0	3
2018-10-13	2	47	49	10	7
2018-10-14	0	0	0	0	0
2018-10-15	0	0	0	0	0
2018-10-16	1	32	34	2	2
2018-10-17	1	51	52	3	0
2018-10-18	0	0	0	0	0
2018-10-19	1	25	25	2	3
2018-10-20	0	0	0	0	0
2018-10-21	0	0	0	0	0
2018-10-22	0	0	0	0	0
2018-10-23	1	17	18	0	1
2018-10-24	1	30	31	3	10
2018-10-25	1	21	21	2	0
2018-10-26	0	0	0	0	0
2018-10-27	0	0	0	0	0
2018-10-28	0	0	0	0	0
2018-10-29	0	0	0	0	0
2018-10-30	0	0	0	0	0
