day	posts	likes	reactions	comments	shares
2017-09-14	1	15	15	0	3
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	0	0	0	0	0
2017-09-19	1	28	30	1	8
2017-09-20	0	0	0	0	0
2017-09-21	1	12	12	0	0
2017-09-22	1	80	87	1	0
2017-09-23	1	17	17	0	1
2017-09-24	1	74	78	16	1
2017-09-25	0	0	0	0	0
2017-09-26	1	15	16	5	1
2017-09-27	1	62	63	0	0
2017-09-28	1	57	58	12	0
2017-09-29	0	0	0	0	0
2017-09-30	0	0	0	0	0
2017-10-01	0	0	0	0	0
2017-10-02	1	130	148	32	4
2017-10-03	1	10	10	0	3
2017-10-04	1	40	41	11	4
2017-10-05	1	35	40	2	1
2017-10-06	0	0	0	0	0
2017-10-07	0	0	0	0	0
2017-10-08	0	0	0	0	0
2017-10-09	1	193	207	267	0
2017-10-10	0	0	0	0	0
2017-10-11	2	194	227	7	7
2017-10-12	1	80	88	14	3
2017-10-13	1	13	13	0	3
2017-10-14	1	10	10	3	0
2017-10-15	0	0	0	0	0
2017-10-16	0	0	0	0	0
2017-10-17	1	199	319	277	14
2017-10-18	1	71	84	65	3
2017-10-19	1	18	32	2	12
2017-10-20	0	0	0	0	0
2017-10-21	0	0	0	0	0
2017-10-22	0	0	0	0	0
2017-10-23	1	61	65	3	1
2017-10-24	1	18	18	3	1
2017-10-25	1	232	242	21	16
2017-10-26	1	162	166	11	5
2017-10-27	0	0	0	0	0
2017-10-28	0	0	0	0	0
2017-10-29	0	0	0	0	0
2017-10-30	0	0	0	0	0
2017-10-31	1	15	15	0	6
2017-11-01	2	18	22	0	3
2017-11-02	0	0	0	0	0
2017-11-03	0	0	0	0	0
2017-11-04	0	0	0	0	0
2017-11-05	0	0	0	0	0
2017-11-06	1	5	5	1	0
2017-11-07	1	3	3	0	0
2017-11-08	0	0	0	0	0
2017-11-09	2	47	128	329	8
2017-11-10	0	0	0	0	0
2017-11-11	0	0	0	0	0
2017-11-12	0	0	0	0	0
2017-11-13	0	0	0	0	0
2017-11-14	1	447	481	55	17
2017-11-15	1	83	83	1	2
2017-11-16	0	0	0	0	0
2017-11-17	2	17	19	9	2
2017-11-18	1	43	43	0	3
2017-11-19	0	0	0	0	0
2017-11-20	1	14	14	14	4
2017-11-21	1	54	56	15	3
2017-11-22	0	0	0	0	0
2017-11-23	0	0	0	0	0
2017-11-24	0	0	0	0	0
2017-11-25	1	36	36	36	0
2017-11-26	0	0	0	0	0
2017-11-27	0	0	0	0	0
2017-11-28	0	0	0	0	0
2017-11-29	0	0	0	0	0
2017-11-30	1	247	282	103	8
2017-12-01	1	10	10	0	0
2017-12-02	0	0	0	0	0
2017-12-03	0	0	0	0	0
2017-12-04	0	0	0	0	0
2017-12-05	1	57	58	0	0
2017-12-06	0	0	0	0	0
2017-12-07	1	10	10	2	0
2017-12-08	1	340	358	26	8
2017-12-09	1	41	41	0	0
2017-12-10	0	0	0	0	0
2017-12-11	3	297	361	143	24
2017-12-12	3	67	68	5	2
2017-12-13	1	313	341	35	12
2017-12-14	0	0	0	0	0
2017-12-15	1	26	26	9	1
2017-12-16	0	0	0	0	0
2017-12-17	0	0	0	0	0
2017-12-18	1	46	51	3	1
2017-12-19	0	0	0	0	0
2017-12-20	2	35	39	7	1
2017-12-21	1	98	104	3	10
2017-12-22	0	0	0	0	0
2017-12-23	0	0	0	0	0
2017-12-24	0	0	0	0	0
2017-12-25	0	0	0	0	0
2017-12-26	0	0	0	0	0
2017-12-27	0	0	0	0	0
2017-12-28	0	0	0	0	0
2017-12-29	1	50	51	4	2
2017-12-30	0	0	0	0	0
2017-12-31	0	0	0	0	0
2018-01-01	0	0	0	0	0
2018-01-02	1	57	62	0	0
2018-01-03	0	0	0	0	0
2018-01-04	1	358	376	153	12
2018-01-05	1	16	17	5	0
2018-01-06	0	0	0	0	0
2018-01-07	0	0	0	0	0
2018-01-08	1	64	65	2	4
2018-01-09	1	2	2	3	1
2018-01-10	2	155	175	386	16
2018-01-11	1	33	34	3	2
2018-01-12	0	0	0	0	0
2018-01-13	0	0	0	0	0
2018-01-14	0	0	0	0	0
2018-01-15	1	7	9	2	2
2018-01-16	2	272	313	113	5
2018-01-17	0	0	0	0	0
2018-01-18	1	126	213	162	24
2018-01-19	0	0	0	0	0
2018-01-20	0	0	0	0	0
2018-01-21	0	0	0	0	0
2018-01-22	0	0	0	0	0
2018-01-23	0	0	0	0	0
2018-01-24	0	0	0	0	0
2018-01-25	0	0	0	0	0
2018-01-26	0	0	0	0	0
2018-01-27	0	0	0	0	0
2018-01-28	0	0	0	0	0
2018-01-29	0	0	0	0	0
2018-01-30	1	82	86	4	6
2018-01-31	1	2	2	0	0
2018-02-01	0	0	0	0	0
2018-02-02	0	0	0	0	0
2018-02-03	0	0	0	0	0
2018-02-04	0	0	0	0	0
2018-02-05	0	0	0	0	0
2018-02-06	1	76	81	53	3
2018-02-07	0	0	0	0	0
2018-02-08	1	107	130	7	3
2018-02-09	1	11	11	0	0
2018-02-10	0	0	0	0	0
2018-02-11	0	0	0	0	0
2018-02-12	0	0	0	0	0
2018-02-13	1	23	24	0	0
2018-02-14	1	43	43	5	3
2018-02-15	1	64	70	10	5
2018-02-16	0	0	0	0	0
2018-02-17	0	0	0	0	0
2018-02-18	0	0	0	0	0
2018-02-19	1	78	88	1	5
2018-02-20	0	0	0	0	0
2018-02-21	1	26	26	6	3
2018-02-22	1	13	14	16	1
2018-02-23	2	237	256	15	6
2018-02-24	0	0	0	0	0
2018-02-25	0	0	0	0	0
2018-02-26	0	0	0	0	0
2018-02-27	1	62	62	4	1
2018-02-28	0	0	0	0	0
2018-03-01	1	17	19	2	1
2018-03-02	0	0	0	0	0
2018-03-03	0	0	0	0	0
2018-03-04	0	0	0	0	0
2018-03-05	2	56	58	16	11
2018-03-06	1	13	13	1	0
2018-03-07	1	30	33	5	0
2018-03-08	1	70	73	1	8
2018-03-09	1	90	105	8	2
2018-03-10	1	20	20	3	1
2018-03-11	0	0	0	0	0
2018-03-12	1	48	49	1	8
2018-03-13	0	0	0	0	0
2018-03-14	1	1	1	1	0
2018-03-15	1	4	4	0	0
2018-03-16	1	46	49	32	21
2018-03-17	0	0	0	0	0
2018-03-18	0	0	0	0	0
2018-03-19	0	0	0	0	0
2018-03-20	1	13	15	3	1
2018-03-21	1	6	6	0	0
2018-03-22	1	7	7	0	3
2018-03-23	1	21	21	4	0
2018-03-24	1	6	6	0	0
2018-03-25	0	0	0	0	0
2018-03-26	0	0	0	0	0
2018-03-27	1	36	42	1	2
2018-03-28	1	57	58	12	1
2018-03-29	2	122	127	62	3
2018-03-30	0	0	0	0	0
