day	posts	likes	reactions	comments	shares
2018-05-28	2	132	136	15	12
2018-05-29	2	15	15	3	0
2018-05-30	2	96	101	37	8
2018-05-31	1	40	43	0	2
2018-06-01	2	200	210	121	37
2018-06-02	0	0	0	0	0
2018-06-03	1	17	18	2	1
2018-06-04	1	11	11	4	2
2018-06-05	1	57	58	28	8
2018-06-06	1	29	33	0	5
2018-06-07	1	107	116	1	5
2018-06-08	0	0	0	0	0
2018-06-09	1	128	143	1	0
2018-06-10	1	28	30	6	11
2018-06-11	0	0	0	0	0
2018-06-12	2	53	56	0	5
2018-06-13	2	208	240	32	2
2018-06-14	1	41	61	0	9
2018-06-15	2	233	258	10	14
2018-06-16	0	0	0	0	0
2018-06-17	0	0	0	0	0
2018-06-18	2	178	189	3	9
2018-06-19	1	70	74	4	9
2018-06-20	1	98	105	3	19
2018-06-21	0	0	0	0	0
2018-06-22	1	51	52	4	6
2018-06-23	1	46	50	5	6
2018-06-24	1	151	168	8	0
2018-06-25	1	7	8	5	0
2018-06-26	1	23	28	10	4
2018-06-27	1	247	277	11	10
2018-06-28	1	56	62	0	3
2018-06-29	0	0	0	0	0
2018-06-30	0	0	0	0	0
2018-07-01	1	62	62	1	2
2018-07-02	1	23	23	4	2
2018-07-03	2	51	54	8	14
2018-07-04	1	222	261	35	14
2018-07-05	1	35	37	1	8
2018-07-06	0	0	0	0	0
2018-07-07	0	0	0	0	0
2018-07-08	1	41	48	1	2
2018-07-09	2	90	97	10	10
2018-07-10	1	56	59	2	1
2018-07-11	1	4	5	0	0
2018-07-12	1	120	132	1	0
2018-07-13	1	72	100	10	13
2018-07-14	0	0	0	0	0
2018-07-15	1	81	92	9	11
2018-07-16	0	0	0	0	0
2018-07-17	0	0	0	0	0
2018-07-18	1	35	42	3	3
2018-07-19	2	154	164	21	11
2018-07-20	1	46	46	26	0
2018-07-21	1	10	10	0	0
2018-07-22	1	32	32	0	0
2018-07-23	0	0	0	0	0
2018-07-24	1	59	73	7	3
2018-07-25	1	10	10	0	1
2018-07-26	1	65	69	2	3
2018-07-27	0	0	0	0	0
2018-07-28	0	0	0	0	0
2018-07-29	1	182	203	2	0
2018-07-30	1	38	38	2	7
2018-07-31	2	29	29	4	2
2018-08-01	1	16	18	0	0
2018-08-02	1	87	97	6	5
2018-08-03	1	66	70	26	3
2018-08-04	0	0	0	0	0
2018-08-05	1	26	26	1	2
2018-08-06	1	80	122	22	10
2018-08-07	1	167	181	32	13
2018-08-08	1	19	21	6	1
2018-08-09	1	35	35	4	2
2018-08-10	1	210	230	15	39
2018-08-11	0	0	0	0	0
2018-08-12	2	28	29	6	8
2018-08-13	2	31	32	2	5
2018-08-14	1	147	170	8	13
2018-08-15	1	966	1087	35	127
2018-08-16	0	0	0	0	0
2018-08-17	1	46	50	2	0
2018-08-18	0	0	0	0	0
2018-08-19	0	0	0	0	0
2018-08-20	1	4	5	0	2
2018-08-21	1	19	21	3	2
2018-08-22	1	15	15	0	4
2018-08-23	1	30	30	2	2
2018-08-24	1	44	49	3	0
2018-08-25	1	164	195	10	6
2018-08-26	0	0	0	0	0
2018-08-27	1	9	10	1	0
2018-08-28	2	9	9	0	0
2018-08-29	2	55	58	35	15
2018-08-30	1	14	14	0	0
2018-08-31	1	342	392	4	0
2018-09-01	1	39	39	0	0
2018-09-02	1	53	76	1	34
2018-09-03	2	158	165	1	3
2018-09-04	1	38	42	4	3
2018-09-05	2	160	172	2	0
2018-09-06	1	10	10	5	1
2018-09-07	1	46	51	0	1
2018-09-08	0	0	0	0	0
2018-09-09	1	84	91	43	3
2018-09-10	1	31	33	4	1
2018-09-11	1	56	63	2	9
2018-09-12	2	383	420	8	1
2018-09-13	1	70	71	1	3
2018-09-14	1	14	14	0	0
2018-09-15	0	0	0	0	0
2018-09-16	1	12	12	2	3
2018-09-17	2	322	366	98	50
2018-09-18	2	315	354	58	9
2018-09-19	0	0	0	0	0
2018-09-20	2	530	594	29	9
2018-09-21	2	434	482	13	16
2018-09-22	1	8	9	0	0
2018-09-23	1	58	60	1	3
2018-09-24	0	0	0	0	0
2018-09-25	0	0	0	0	0
2018-09-26	1	25	28	5	2
2018-09-27	1	13	13	4	1
2018-09-28	1	33	33	6	1
2018-09-29	1	182	200	0	0
2018-09-30	0	0	0	0	0
2018-10-01	1	4	4	0	3
2018-10-02	0	0	0	0	0
2018-10-03	0	0	0	0	0
2018-10-04	2	32	33	5	4
2018-10-05	0	0	0	0	0
2018-10-06	1	6	6	3	0
2018-10-07	0	0	0	0	0
2018-10-08	2	59	59	3	7
2018-10-09	1	133	147	1	0
2018-10-10	2	118	129	10	12
2018-10-11	2	210	255	5	36
2018-10-12	2	57	59	3	1
2018-10-13	0	0	0	0	0
2018-10-14	1	52	56	14	6
2018-10-15	0	0	0	0	0
2018-10-16	1	352	421	7	0
2018-10-17	2	110	121	8	10
2018-10-18	0	0	0	0	0
2018-10-19	1	96	103	3	0
2018-10-20	0	0	0	0	0
2018-10-21	1	60	63	1	7
2018-10-22	1	24	24	3	0
2018-10-23	1	25	27	34	2
2018-10-24	1	52	52	2	4
2018-10-25	1	27	28	3	2
2018-10-26	1	14	14	0	2
2018-10-27	0	0	0	0	0
2018-10-28	1	53	73	158	5
2018-10-29	1	17	17	0	0
2018-10-30	0	0	0	0	0
2018-10-31	1	63	68	4	0
2018-11-01	2	250	271	40	7
2018-11-02	0	0	0	0	0
2018-11-03	0	0	0	0	0
2018-11-04	1	17	19	3	2
2018-11-05	2	58	59	2	2
2018-11-06	1	17	17	8	3
2018-11-07	1	202	223	4	8
